4 5 90 10 | 185
10 5 90 10 | 207
15 5 90 10 | 220
20 5 90 10 | 254
22 5 90 10 | 247
25 5 90 10 | 271
30 5 90 10 | 293
32 5 90 10 | 295
35 5 90 10 | 309
37 5 90 10 | 334
40 5 90 10 | 361
40 2 90 10 | 237
40 4 90 10 | 311
40 5 90 10 | 331
40 7 90 10 | 373
40 10 90 10 | 423
40 5 80 10 | 203
40 5 85 10 | 258
40 5 90 10 | 358
40 5 95 10 | 584
40 5 99 10 | 2773
40 5 90 1 | 104
40 5 90 5 | 204
40 5 90 10 | 341
40 5 90 50 | 1460
40 5 90 100 | 2704
